Name,Publisher,JIF,Quartile,OA,Scope,Subjects
JOURNAL OF PUBLIC HEALTH,OXFORD UNIV PRESS,3.1,Q1,No,"The Journal of Public Health invites submission of papers on any aspect of public health research and practice. Papers reporting findings from any region of the world are welcome. We welcome papers on the theory and practice of the whole spectrum of public health across the domains of health improvement, health protection and service improvement, with a particular focus on the translation of science into action. Papers on the role of public health ethics and law are welcome. We aim to promote the highest standards of public health practice internationally through the timely communication of current, best scientific evidence. Our main criteria for grading manuscripts are scientific originality and impact, as well as relevance to public health practice.Join the conversation about this journal","Medicine; Medicine (miscellaneous); Public Health, Environmental and Occupational Health"
FUTURE GENERATION COMPUTER SYSTEMS THE INTERNATIONAL JOURNAL OF ESCIENCE,ELSEVIER,6.1,Q1,No,"Computing infrastructures and systems are rapidly developing and so are novel ways to map, control and execute scientific applications which become more and more complex and collaborative. Computational and storage capabilities, databases, sensors, and people need true collaborative tools. Over the last years there has been a real explosion of new theory and technological progress supporting a better understanding of these wide-area, fully distributed sensing and computing systems. Big Data in all its guises require novel methods and infrastructures to register, analyze and distill meaning. FGCS aims to lead the way in advances in distributed systems, collaborative environments, high performance and high performance computing, Big Data on such infrastructures as grids, clouds and the Internet of Things (IoT).Join the conversation about this journal",Computer Science; Computer Networks and Communications; Hardware and Architecture; Software
INFORMATION AND MANAGEMENT,ELSEVIER,8.2,Q1,No,"Information & Management serves researchers in the information systems field and managers, professionals, administrators and senior executives of organizations which design, implement and manage Information Systems Applications. The major aims are: • To collect and disseminate information on new and advanced developments in the field of information systems; • To provide material for training and education in information systems; • To encourage further progress in information systems methodology and applications; • To cover the range of information system development and usage in their use of managerial policies, strategies, and activities for business, public administration, and international organizations.Join the conversation about this journal","Business, Management and Accounting; Management Information Systems; Computer Science; Information Systems; Decision Sciences; Information Systems and Management"
INFORMATION SYSTEMS,PERGAMON-ELSEVIER SCIENCE LTD,3.4,Q2,No,"Information systems are the software and hardware systems that support data-intensive applications. The journal Information Systems publishes articles concerning the design and implementation of languages, data models, process models, algorithms, software and hardware for information systems. Subject areas include data management issues as presented in the principal international database conferences (e.g., ACM SIGMOD/PODS, VLDB, ICDE and ICDT/EDBT) as well as data-related issues from the fields of data mining/machine learning, information retrieval coordinated with structured data, internet and cloud data management, business process management, web semantics, visual and audio information systems, scientific computing, and data science. Implementation papers having to do with massively parallel data management, fault tolerance in practice, and special purpose hardware for data-intensive systems are also welcome. Manuscripts from application domains, such as urban informatics, social and natural science, and Internet of Things, are also welcome. All papers should highlight innovative solutions to data management problems such as new data models, performance enhancements, and show how those innovations contribute to the goals of the application.Join the conversation about this journal",Computer Science; Hardware and Architecture; Information Systems; Software
INFORMATION SYSTEMS JOURNAL,WILEY,6.3,Q1,No,"The Information Systems Journal (ISJ) is an international journal promoting the study of, and interest in, information systems. Articles are welcome on research, practice, experience, current issues and debates. The ISJ encourages submissions that reflect the wide and interdisciplinary nature of the subject and articles that integrate technological disciplines with social, contextual and management issues, based on research using appropriate research methods.The ISJ has particularly built its reputation by publishing qualitative research and it continues to welcome such papers. Quantitative research papers are also welcome but they need to emphasise the context of the research and the theoretical and practical implications of their findings.The ISJ does not publish purely technical papers.Join the conversation about this journal",Computer Science; Computer Networks and Communications; Information Systems; Software
SAFETY SCIENCE,ELSEVIER,5.4,Q1,No,"Safety Science is multidisciplinary. Its contributors and its audience range from social scientists to engineers. The journal covers the physics and engineering of safety; its social, policy and organizational aspects; the assessment, management and communication of risks; the effectiveness of control and management techniques for safety; standardization, legislation, inspection, insurance, costing aspects, human behavior and safety and the like. Papers addressing the interfaces between technology, people and organizations are especially welcome.Join the conversation about this journal","Engineering; Safety, Risk, Reliability and Quality; Medicine; Public Health, Environmental and Occupational Health; Social Sciences; Safety Research"
INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN ENGINEERING,WILEY,2.9,Q1,No,"The International Journal for Numerical Methods in Engineering publishes original papers describing significant, novel developments in numerical methods that are applicable to engineering problems. The Journal is known for welcoming contributions in a wide range of areas in computational engineering, including computational issues in model reduction, uncertainty quantification, verification and validation, inverse analysis and stochastic methods, optimisation, element technology, solution techniques and parallel computing, damage and fracture, mechanics at micro and nano-scales, low-speed fluid dynamics, fluid-structure interaction, electromagnetics, coupled diffusion phenomena, and error estimation and mesh generation. It is emphasized that this is by no means an exhaustive list, and particularly papers on multi-scale, multi-physics or multi-disciplinary problems, and on new, emerging topics are welcome. Manuscripts should have sufficient original numerical content, and generate new knowledge that is applicable to general classes of engineering problems, and not be limited to applications of existing methods, or propose incremental improvements to existing methods. The journal publishes full-length papers, which should not normally exceed 30 pages, and short communications, which can be at most 8 journal pages. Discussions of papers in print can be published, but two-part papers will not be considered for review.Join the conversation about this journal",Engineering; Engineering (miscellaneous); Mathematics; Applied Mathematics; Numerical Analysis
INTERNATIONAL JOURNAL OF FUZZY SYSTEMS,SPRINGER HEIDELBERG,3.6,Q2,No,"The International Journal of Fuzzy Systems (IJFS) is an official journal of Taiwan Fuzzy Systems Association (TFSA) and is published semi-quarterly. IJFS will consider high quality papers that deal with the theory, design, and application of fuzzy systems, soft computing systems, grey systems, and extension theory systems ranging from hardware to software. Survey and expository submissions are also welcome.Join the conversation about this journal",Computer Science; Artificial Intelligence; Computational Theory and Mathematics; Information Systems; Software; Engineering; Control and Systems Engineering; Mathematics; Theoretical Computer Science
INTERNATIONAL JOURNAL OF GENERAL SYSTEMS,TAYLOR & FRANCIS LTD,2.9,Q2,No,"International Journal of General Systems is a periodical devoted primarily to the publication of original research contributions to system science, basic as well as applied. However, relevant survey articles, invited book reviews, bibliographies, and letters to the editor are also published. The principal aim of the journal is to promote original systems ideas (concepts, principles, methods, theoretical or experimental results, etc.) that are broadly applicable to various kinds of systems. The term “general system” in the name of the journal is intended to indicate this aim–the orientation to systems ideas that have a general applicability. Typical subject areas covered by the journal include: uncertainty and randomness; fuzziness and imprecision; information; complexity; inductive and deductive reasoning about systems; learning; systems analysis and design; and theoretical as well as experimental knowledge regarding various categories of systems. Submitted research must be well presented and must clearly state the contribution and novelty. Manuscripts dealing with particular kinds of systems which lack general applicability across a broad range of systems should be sent to journals specializing in the respective topics.Join the conversation about this journal",Computer Science; Computer Science Applications; Information Systems; Engineering; Control and Systems Engineering; Mathematics; Modeling and Simulation; Theoretical Computer Science
PHOTOGRAMMETRIC RECORD,WILEY,3.6,Q1,No,"The Photogrammetric Record is an international journal containing original, independently and rapidly refereed articles that reflect modern advancements in photogrammetry, 3D imaging, computer vision, and other related non-contact fields. All aspects of the measurement workflow are relevant, from sensor characterisation and modelling, data acquisition, processing algorithms and product generation, to novel applications. The journal provides a record of new research which will contribute both to the advancement of photogrammetric knowledge and to the application of techniques in novel ways. It also seeks to stimulate debate though correspondence, and carries reviews of recent literature from the wider geomatics discipline. Relevant topics include, but are not restricted to: - Photogrammetric sensor calibration and characterisation - Laser scanning (lidar) - Image and 3D sensor technology (e.g. range cameras, natural user interface systems) - Photogrammetric aspects of image processing (e.g. radiometric methods, feature extraction, image matching and scene classification) - Mobile mapping and unmanned vehicular systems (UVS; UAVs) - Registration and orientation - Data fusion and integration of 3D and 2D datasets - Point cloud processing - 3D modelling and reconstruction - Algorithms and novel software - Visualisation and virtual reality - Terrain/object modelling and photogrammetric product generation - Geometric sensor models - Databases and structures for imaging and 3D modelling - Standards and best practice for data acquisition and storage - Change detection and monitoring, and sequence analysisJoin the conversation about this journal",Computer Science; Computer Science Applications; Earth and Planetary Sciences; Computers in Earth Sciences; Earth and Planetary Sciences (miscellaneous); Engineering; Engineering (miscellaneous)
JOURNAL OF COMPUTER INFORMATION SYSTEMS,TAYLOR & FRANCIS INC,4.2,Q2,No,"The Journal of Computer Information Systems (JCIS) aims to publish manuscripts that explore information systems and technology research and thus develop computer information systems globally. We encourage manuscripts that cover the following topic areas: -Analytics, Business Intelligence, Decision Support Systems in Computer Information Systems - Mobile Technology, Mobile Applications - Human-Computer Interaction - Information and/or Technology Management, Organizational Behavior & Culture - Data Management, Data Mining, Database Design and Development - E-Commerce Technology and Issues in computer information systems - Computer systems enterprise architecture, enterprise resource planning - Ethical and Legal Issues of IT - Health Informatics - Information Assurance and Security--Cyber Security, Cyber Forensics - IT Project Management - Knowledge Management in computer information systems - Networks and/or Telecommunications - Systems Analysis, Design, and/or Implementation - Web Programming and Development - Curriculum Issues, Instructional Issues, Capstone Courses, Specialized Curriculum Accreditation - E-Learning Technologies, Analytics, Future Join the conversation about this journal",Computer Science; Computer Networks and Communications; Information Systems; Social Sciences; Education
INTERNATIONAL JOURNAL OF INDUSTRIAL ERGONOMICS,ELSEVIER,3.0,Q2,No,"The journal publishes original contributions that add to our understanding of the role of humans in today systems and the interactions thereof with various system components. The journal typically covers the following areas: industrial and occupational ergonomics, design of systems, tools and equipment, human performance measurement and modeling, human productivity, humans in technologically complex systems, and safety. The focus of the articles includes basic theoretical advances, applications, case studies, new methodologies and procedures; and empirical studies.Join the conversation about this journal","Medicine; Public Health, Environmental and Occupational Health; Social Sciences; Human Factors and Ergonomics"
INTERNATIONAL JOURNAL OF SYSTEMS SCIENCE,TAYLOR & FRANCIS LTD,4.6,Q1,Yes,"International Journal of Systems Science (IJSS) is a world leading journal dedicated to publishing high quality, rigorously reviewed, original papers that contribute to the methodology and practice in emerging systems engineering themes of intelligence, autonomy and complexity. Modern systems are becoming more and more complex and sophisticated in their demand for performance, reliability and increasing autonomy. Historically, highly analytic and numeric-based methods have sufficed, frequently simplifying the problem to allow analytical tractability. Many manufactured and natural systems (biological, ecological and socio-economic) cannot be adequately represented or analyzed without requiring multiple interacting and interconnected frameworks and a common information-processing framework. A wide range of new theories, methodologies and techniques are required to ‘enable’ such systems, and thus engineering and integration to deal with these demands. IJSS therefore encourages original submissions in these areas, with special focus on papers that are strongly novel as well as not being overly applied. Proposals for special issues in cutting-edge areas of systems science are encouraged, and should be discussed with the Editor-in-Chief. Papers that cover those topics related to operations management and logistics will not be accepted for publication in IJSS. Instead they should be submitted directly to sister journal International Journal of Systems Science: Operations & Logistics. Queries regarding submissions can be made by contacting the Editor-in-Chief, whose decision is final.Join the conversation about this journal",Computer Science; Computer Science Applications; Engineering; Control and Systems Engineering; Mathematics; Theoretical Computer Science
PROFESSIONAL GEOGRAPHER,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",1.9,Q2,No,"The Professional Geographer, initially a publication of the American Society for Professional Geographers, became a journal of the American Association of Geographers in 1949. It publishes short articles of academic or applied geography, emphasizing empirical studies and methodologies. These features may range in content and approach from rigorously analytic to broadly philosophical or prescriptive. The journal provides a forum for new ideas and alternative viewpoints.Join the conversation about this journal","Earth and Planetary Sciences; Earth-Surface Processes; Social Sciences; Geography, Planning and Development"
PROGRESS IN HUMAN GEOGRAPHY,SAGE PUBLICATIONS LTD,6.1,Q1,No,"Progress in Human Geography is the peer-review journal of choice for those wanting to know about the state of the art in all areas of human geography research - philosophical, theoretical, thematic, methodological or empirical. Concerned primarily with critical reviews of current research, PiHG enables a space for debate about questions, concepts and findings of formative influence in human geography. It is published six times per year in paper format and - in Online First - continuously in electronic format. The six editors of PiHG are supported by an international Editorial Advisory Board. Four major strands - Perspectives, Reviews, Biographies and Key Publications - shape the agenda setting content of the journal. In combination, these strands make PiHG the most innovative, distinctive and wide-ranging journal of human geography today. They enable it to offer critically informed and diverse accounts of the intellectual traditions and contemporary developments that shape and direct human geographical research and teaching.Join the conversation about this journal","Social Sciences; Geography, Planning and Development"
JOURNAL OF ENGINEERING DESIGN,TAYLOR & FRANCIS LTD,3.4,Q1,Yes,"The Journal of Engineering Design is a leading international publication that provides an essential forum for dialogue on important issues across all disciplines and aspects of the design of engineered products and systems. The Journal publishes pioneering, contemporary, best industrial practice as well as authoritative research, studies and review papers on the underlying principles of design, its management, practice, techniques and methodologies, rather than specific domain applications. We welcome papers that examine the following topics: Engineering design aesthetics, style and form- Big data analytics in engineering design- Collaborative design in engineering- Engineering concept design- Creativity and innovation in engineering- Engineering design architectures- Design costing in engineering Design education and pedagogy in engineering- Engineering design for X, e.g. manufacturability, assembly, environment, sustainability- Engineering design management- Design risk and uncertainty in engineering- Engineering design theory and methodology- Designing product platforms, modularity and reuse in engineering- Emotive design, e.g. Kansei engineering- Ergonomics, styling and the design process- Evolutionary design activity in engineering (product improvement & refinement)- Global and distributed engineering design- Inclusive design and assistive engineering technology- Engineering industrial design and total design- Integrated engineering design development- Knowledge and information management in engineering- Engineering maintainability, sustainability, safety and standards- Multi, inter and trans disciplinary engineering design- New engineering product design and development- Engineering product introduction process[...]Join the conversation about this journal",Engineering; Engineering (miscellaneous)
REMOTE SENSING OF ENVIRONMENT,ELSEVIER SCIENCE INC,11.4,Q1,No,"Remote Sensing of Environment (RSE) serves the Earth observation community with the publication of results on the theory, science, applications, and technology of remote sensing studies. Thoroughly interdisciplinary, RSE publishes on terrestrial, oceanic and atmospheric sensing. The emphasis of the journal is on biophysical and quantitative approaches to remote sensing at local to global scales. Areas of interest include, but are not necessarily restricted to: Agriculture, forestry and range; Biophysical-spectral models; Ecology; Geography and land information; Geology and geoscience; Hydrology and water resources; Atmospheric science and meteorology; Oceanography; Natural hazards; Image processing and analysis; Sensor systems and spectral-radiometric measurements.Join the conversation about this journal",Agricultural and Biological Sciences; Soil Science; Earth and Planetary Sciences; Computers in Earth Sciences; Geology
JOURNAL OF MANAGEMENT IN ENGINEERING,ASCE-AMER SOC CIVIL ENGINEERS,7.0,Q1,No,"The Journal of Management in Engineering offers an avenue for researchers and practitioners to present contemporary issues associated with management and leadership for the civil engineer. The journal publishes peer-reviewed papers, case studies, technical notes, and discussions of interest to the practice of civil engineering. Management and leadership issues include contract management, project management, partnering, office management, professional practice and development, financial management, human resources management, marketing and sales, ethics, technology and innovation management, information management, continuing education, organizational theory, strategic planning, conflict management, negotiating, risk management, globalization, networking, change management, teamwork, team building, communication, mentoring, coaching, and diversity. Papers discussing legislative and regulatory issues, corporate and public policy, and the role of civil engineering in the political process at all levels of government are welcomed. Interdisciplinary studies and collaborations are encouraged. Theoretical papers submitted for publication should preferably include real-world applications of the techniques.Join the conversation about this journal","Business, Management and Accounting; Industrial Relations; Strategy and Management; Decision Sciences; Management Science and Operations Research; Engineering; Engineering (miscellaneous)"
INFORMATION PROCESSING AND MANAGEMENT,ELSEVIER SCI LTD,6.9,Q1,No,"Information Processing and Management publishes cutting-edge original research at the intersection of computing and information science concerning theory, methods, or applications in a range of domains, including but not limited to advertising, business, health, information science, information technology marketing, and social computing. The journal aims to serve the interests of primary researchers but also practitioners in furthering knowledge at the intersection of computing and information science by providing an effective forum for the timely dissemination of advanced and topical issues. The journal is especially interested in original research articles, research survey articles, research method articles, and articles addressing critical applications of research. Specifically, the journal is interested in four types of manuscripts, which are: Research manuscripts addressing topics at the intersection of computer and information science. Methods manuscripts focusing on the application of novel methods at the intersection of computer and information science. Review manuscripts assessing, in a critical and in-depth manner, a broad trend at the intersection of computer and information science, providing integration of the prior research, and recommendations for further work in the area. Critical application manuscripts concerning system design research at the intersection of computer and information science.Join the conversation about this journal",Computer Science; Computer Science Applications; Information Systems; Decision Sciences; Management Science and Operations Research; Engineering; Media Technology; Social Sciences; Library and Information Sciences
MULTIVARIATE BEHAVIORAL RESEARCH,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",3.5,Q1,No,"Multivariate Behavioral Research (MBR) publishes a variety of substantive, methodological, and theoretical articles in all areas of the social and behavioral sciences. Most MBR articles fall into one of two categories. Substantive articles report on applications of sophisticated multivariate research methods to study topics of substantive interest in personality, health, intelligence, industrial/organizational, and other behavioral science areas. Methodological articles present and/or evaluate new developments in multivariate methods, or address methodological issues in current research. We also encourage submission of integrative articles related to pedagogy involving multivariate research methods, and to historical treatments of interest and relevance to multivariate research methods.Join the conversation about this journal",Arts and Humanities; Arts and Humanities (miscellaneous); Mathematics; Statistics and Probability; Medicine; Medicine (miscellaneous); Psychology; Experimental and Cognitive Psychology
BRITISH JOURNAL OF MATHEMATICAL AND STATISTICAL PSYCHOLOGY,WILEY,1.8,Q1,No,"The British Journal of Mathematical and Statistical Psychology publishes articles relating to areas of psychology which have a greater mathematical or statistical aspect of their argument than is usually acceptable to other journals including: • mathematical psychology • statistics • psychometrics • decision making • psychophysics • classification • relevant areas of mathematics, computing and computer software These include articles that address substantitive psychological issues or that develop and extend techniques useful to psychologists. New models for psychological processes, new approaches to existing data, critiques of existing models and improved algorithms for estimating the parameters of a model are examples of articles which may be favoured.Join the conversation about this journal",Arts and Humanities; Arts and Humanities (miscellaneous); Mathematics; Statistics and Probability; Medicine; Medicine (miscellaneous); Psychology; Psychology (miscellaneous)
JOURNAL OF INFORMATION TECHNOLOGY,SAGE PUBLICATIONS LTD,5.4,Q1,No,"The aim of the Journal of Information Technology (JIT) is to provide academically robust papers, research, critical reviews and opinions on the organisational, social and management issues associated with significant information-based technologies. It is designed to be read by academics, scholars, advanced students, reflective practitioners, and those seeking an update on current experience and future prospects in relation to contemporary information and communications technology themes. JIT focuses on new research addressing technology and the management of IT, including strategy, change, infrastructure, human resources, sourcing, system development and implementation, communications, technology developments, technology futures, national policies and standards. It also publishes articles that advance our understanding and application of research approaches and methods.Join the conversation about this journal","Business, Management and Accounting; Strategy and Management; Computer Science; Information Systems; Social Sciences; Library and Information Sciences"
CANADIAN JOURNAL OF BEHAVIOURAL SCIENCE REVUE CANADIENNE DES SCIENCES DU COMPORTEMENT,CANADIAN PSYCHOLOGICAL ASSOC,1.6,Q2,No,"The Canadian Journal of Behavioural Science publishes original empirical research in the following areas of psychology: -social (family and relationships, parenting, personality, community, attitudes and behaviour)-development across the life span (children and youth, aging, seniors/older adults)-school and educational (achievement, testing, cognition)-industrial/organizational (management, group performance, conflict resolution)-clinical and abnormal (depression, psychopathology, neuropsychological, counselling)-environmental (weather, built environment, lighting)-diversity, equity, and inclusion (gender, sexual orientation and gender identity). Looking at psychology outside of the lab and in the community, the journal welcomes articles that are cross-cutting, either by looking at an issue from multiple perspectives and/or from across different psychological subject matter areas. Brief reports with theoretical and practical implications may be considered, particularly psychometric reports and to disseminate Canadian norms or forms for standardized tests.Join the conversation about this journal",Psychology; Psychology (miscellaneous)
POPULATION AND ENVIRONMENT,SPRINGER,2.5,Q1,No,"Population & Environment is the sole social science journal focused on interdisciplinary research on social demographic aspects of environmental issues. The journal publishes cutting-edge research that contributes new insights on the complex, reciprocal links between human populations and the natural environment in all regions and countries of the world. Quantitative, qualitative or mixed methods contributions are welcome. Disciplines commonly represented in the journal include demography, geography, sociology, human ecology, environmental economics, public health, anthropology and environmental studies. The journal publishes original research, research brief, and review articles.Join the conversation about this journal",Environmental Science; Environmental Science (miscellaneous); Social Sciences; Demography
COGNITION,ELSEVIER,2.8,Q1,No,"Cognition is an international journal that publishes theoretical and experimental papers on the study of the mind. It covers a wide variety of subjects concerning all the different aspects of cognition, ranging from biological and experimental studies to formal analysis. Contributions from the fields of psychology, neuroscience, linguistics, computer science, mathematics, ethology and philosophy are welcome in this journal provided that they have some bearing on the functioning of the mind. In addition, the journal serves as a forum for discussion of social and political aspects of cognitive science.Join the conversation about this journal",Neuroscience; Cognitive Neuroscience; Psychology; Developmental and Educational Psychology; Experimental and Cognitive Psychology; Social Sciences; Linguistics and Language
SYSTEMS RESEARCH AND BEHAVIORAL SCIENCE,WILEY,1.8,Q2,No,"Systems Research and Behavioral Science serves the international community of systems researchers and practitioners, and all those interested in systems ideas, by publishing high-quality, original articles on systems theories, methodologies and applications. It embraces all strands of the systems movement; including general system theory, cybernetics, autopoiesis, complexity theory, systems engineering, lean systems, system dynamics, soft systems thinking and critical systems thinking. Its scope is also comprehensive, covering systems approaches in the physical sciences, biology, family therapy, business and management, project management, information systems, community studies, social policy, governance, agriculture and the environment. However, the editors particularly welcome papers with broad transdisciplinary implications not found in journals devoted to a single discipline.Join the conversation about this journal","Business, Management and Accounting; Strategy and Management; Decision Sciences; Information Systems and Management; Social Sciences; Social Sciences (miscellaneous)"
